time,open,high,low,close,EMA100,EMA24,EMA9,Volume,Volume MA
2019-01-05T03:00:00Z,3813.16,3822.27,3803.25,3815,3769.363,3779.1168005307604,3794.3769759490015,1107.479271,1410.5229965999997
2019-01-05T04:00:00Z,3815.35,3826.39,3812.09,3815.72,3770.2809603960395,3782.0450564882995,3798.645580759201,1224.004168,1397.3710966999997
2019-01-05T05:00:00Z,3815.72,3840.99,3815.72,3834.01,3771.542921576316,3786.2022519692355,3805.718464607361,1477.733328,1403.3526511999996
2019-01-05T06:00:00Z,3834.01,3835.08,3792,3799.45,3772.0955369906465,3787.262071811697,3804.464771685889,2015.473573,1461.6439037999996
2019-01-05T07:00:00Z,3799.71,3804.99,3780.13,3785.15,3772.3540412086536,3787.0931060667613,3800.6018173487114,956.110214,1463.1130900999997
2019-01-05T08:00:00Z,3784.37,3798.84,3783.76,3793.56,3772.77396118472,3787.61045758142,3799.193453878969,614.93263,1420.4979849999995
2019-01-05T09:00:00Z,3793.01,3796.94,3787.03,3790.36,3773.122199577102,3787.8304209749067,3797.4267631031753,658.552407,1379.5789628499995
2019-01-05T10:00:00Z,3789.72,3793.81,3770,3787.94,3773.4156213676547,3787.839187296914,3795.5294104825402,955.933711,1290.7767318999997
2019-01-05T11:00:00Z,3788.79,3812.63,3787.53,3801.26,3773.9669952019585,3788.9128523131612,3796.675528386032,859.398176,1262.5073005999998
2019-01-05T12:00:00Z,3801.03,3811.98,3796.35,3802.47,3774.5314111385533,3789.9974241281084,3797.8344227088255,964.382953,1248.4549140499998
2019-01-05T13:00:00Z,3801.79,3802.74,3782,3793.84,3774.9137594328395,3790.3048301978597,3797.0355381670606,1386.14167,1271.3015424499997
2019-01-05T14:00:00Z,3793.83,3794.89,3778.01,3787.45,3775.162001820308,3790.0764437820308,3795.1184305336483,1333.232982,1296.5183956999997
2019-01-05T15:00:00Z,3787.55,3814,3785.02,3785.58,3775.3682988139653,3789.7167282794685,3793.2107444269186,1807.063707,1345.7572452999998
2019-01-05T16:00:00Z,3785.58,3805,3775,3797.19,3775.8004117087385,3790.314590017111,3794.006595541535,1663.60144,1360.9725431999998
2019-01-05T17:00:00Z,3797,3807.99,3795.82,3801.36,3776.3065421699516,3791.198222815742,3795.477276433228,1004.571073,1299.0957386499997
2019-01-05T18:00:00Z,3801.52,3818.51,3798.26,3809.02,3776.954333414111,3792.623964990483,3798.1858211465824,1159.90149,1296.9175048499997
2019-01-05T19:00:00Z,3810,3820,3798.19,3810.98,3777.628108990069,3794.092447791244,3800.7446569172657,868.144392,1303.9367701999995
2019-01-05T20:00:00Z,3810.89,3812.36,3800,3803.68,3778.1439880199687,3794.8594519679446,3801.3317255338125,514.185341,1207.6115273999997
2019-01-05T21:00:00Z,3804.95,3812.5,3799,3806.57,3778.706879346306,3795.796295810509,3802.37938042705,493.090412,1119.1285940999996
2019-01-05T22:00:00Z,3806.33,3810.2,3751,3786.62,3778.863574804795,3795.062192145668,3799.22750434164,2574.917606,1181.9425271999996
2019-01-05T23:00:00Z,3786.62,3786.63,3766.14,3770.96,3778.7070683730167,3793.1340167740145,3793.5740034733117,829.738988,1168.0555130499997
2019-01-06T00:00:00Z,3771.12,3792.12,3761.6,3786.76,3778.86653236563,3792.6240954320933,3792.2112027786493,964.564428,1155.0835260499998
2019-01-06T01:00:00Z,3786.86,3791.98,3761.15,3765.65,3778.604818853439,3790.466167797526,3786.8989622229196,1065.356514,1134.4646853499999
2019-01-06T02:00:00Z,3765.65,3775.01,3740,3771.82,3778.470466004856,3788.9744743737238,3783.8831697783357,1629.662522,1115.1741327999998
2019-01-06T03:00:00Z,3771.57,3778.13,3765.49,3771.15,3778.3255062819876,3787.5485164238257,3781.336535822669,575.947111,1096.1659776499998
2019-01-06T04:00:00Z,3771.7,3776.86,3760.58,3767.9,3778.119060613037,3785.9766351099197,3778.649228658135,648.534626,1097.84607745
2019-01-06T05:00:00Z,3768.13,3783.55,3764.43,3777.75,3778.111752482086,3785.3185043011263,3778.469382926508,586.813576,1094.2591359
2019-01-06T06:00:00Z,3778.38,3779.76,3772.14,3772.22,3777.9950841161044,3784.270623957036,3777.2195063412064,330.386704,1062.98178555
2019-01-06T07:00:00Z,3772.34,3775.11,3760,3767.94,3777.795973539548,3782.964174040473,3775.363605072965,656.498524,1052.83680295
2019-01-06T08:00:00Z,3768.11,3773.32,3761.81,3772.88,3777.6986275288637,3782.157440117235,3774.8668840583723,569.315529,1033.0834317499998
2019-01-06T09:00:00Z,3772.77,3782.56,3770.93,3771.3,3777.5719220332426,3781.2888449078564,3774.1535072466977,821.586998,1004.8556981499999
2019-01-06T10:00:00Z,3771.3,3812.02,3770.93,3796.99,3777.956438428624,3782.544937315228,3778.720805797358,1745.968805,1025.4924892999998
2019-01-06T11:00:00Z,3796.42,3820.82,3796.42,3814.24,3778.674924796374,3785.0805423300094,3785.824644637886,1851.631122,1027.7208600499996
2019-01-06T12:00:00Z,3814.23,3820.41,3787.07,3790.81,3778.9152233152577,3785.5388989436087,3786.821715710309,1358.359908,1012.4587834499996
2019-01-06T13:00:00Z,3791.12,3808.31,3785,3798.61,3779.3052188931733,3786.58458702812,3789.1793725682473,839.147623,1004.1876109499997
2019-01-06T14:00:00Z,3800,3805,3791,3801.35,3779.7417492121203,3787.7658200658702,3791.613498054598,900.376637,991.2113682999998
2019-01-06T15:00:00Z,3802,3824.99,3800.24,3806.82,3780.2779521980187,3789.2901544606007,3794.6547984436784,1551.907518,1025.3995246
2019-01-06T16:00:00Z,3806.91,3814.99,3800.31,3813.39,3780.9336363129096,3791.2181421037526,3798.4018387549427,916.842816,1045.5323983499998
2019-01-06T17:00:00Z,3813.39,4025,3813.39,4007.11,3785.4123761879014,3808.4894907354524,3840.1434710039543,8255.228309,1433.6392931999999
2019-01-06T18:00:00Z,4007.13,4027.71,3972.71,3989.09,3789.445596461408,3822.937531476616,3869.9327768031635,3032.692339,1456.52802985
2019-01-06T19:00:00Z,3990,4013,3989.12,4002.46,3793.663703462172,3837.299328958487,3896.438221442531,2004.541875,1515.2681742
2019-01-06T20:00:00Z,4001.41,4015,3967.01,3977.16,3797.2972934926242,3848.488182641808,3912.582577154025,1848.30919,1559.4554122999998
2019-01-06T21:00:00Z,3980.57,3985.69,3953.53,3967.49,3800.6674460967306,3858.0083280304634,3923.5640617232198,2190.129871,1615.69408015
