unix,timestamp,open,high,low,close,volume,ema5,ema7,ema9,ema10,ema12,ema24,ema27,ema30,ema42,ema50,ema60,ema100,ema200,ema223,ema365
1597816800.0,2020-08-19 08:00:00,11711.35,11751.38,11612.71,11732.36,4122.466448,11786.72100053431,11819.323862138219,11846.902588280094,11859.284436088366,11881.856241903004,11965.826579954411,11975.448897134307,11983.582600696705,12015.462549278816,12039.655917247856,nan,nan,nan,nan,nan
1597820400.0,2020-08-19 09:00:00,11732.35,11826.51,11720.0,11823.34,3259.010133,11798.92733368954,11820.327896603663,11842.190070624076,11852.7490840723,11872.853743148697,11954.42765355806,11964.583975910427,11973.244368393693,12006.52661675422,12031.172940100882,nan,nan,nan,nan,nan
1597824000.0,2020-08-19 10:00:00,11823.34,11837.0,11770.0,11788.05,3059.645074,11795.301555793027,11812.258422452747,11831.36205649926,11840.985614240974,11859.807013433512,11941.117441273414,11951.97440620254,11961.296344626358,11996.364913649371,12021.63870715575,nan,nan,nan,nan,nan
1597827600.0,2020-08-19 11:00:00,11788.34,11849.9,11784.4,11792.38,3336.900738,11794.327703862018,11807.28881683956,11823.565645199407,11832.148229833523,11849.433626751434,11929.21844597154,11940.574805759501,11950.398515940788,11986.877243247074,12012.64816962023,nan,nan,nan,nan,nan
1597831200.0,2020-08-19 12:00:00,11792.28,11801.53,11733.01,11799.7,2736.499479,11796.118469241346,11805.39161262967,11818.792516159527,11826.248551681974,11841.782299558905,11918.856970293818,11930.512319633823,11940.676031041381,11978.171324956513,12004.297261007672,nan,nan,nan,nan,nan
1597834800.0,2020-08-19 13:00:00,11799.71,11865.0,11781.56,11842.48,2898.006081,11811.572312827564,11814.663709472252,11823.530012927622,11829.199724103433,11841.889638088303,11912.746812670313,11924.224296802835,11934.34080323226,11971.86010053993,11997.951486066195,12046.4805,nan,nan,nan,nan
1597838400.0,2020-08-19 14:00:00,11842.15,11859.53,11795.77,11855.51,2229.026328,11826.218208551709,11824.875282104189,11829.926010342098,11833.983410630082,11843.985078382411,11908.167867656688,11919.316132745489,11929.254944959212,11966.448467956678,11992.365545436149,12040.219172131146,nan,nan,nan,nan
1597842000.0,2020-08-19 15:00:00,11855.57,11914.67,11806.22,11863.73,3273.795448,11838.722139034473,11834.588961578142,11836.686808273678,11839.391881424614,11847.02275863127,11904.612838244153,11915.34569469224,11925.027529155392,11961.670864795902,11987.321014242574,12034.432641897338,nan,nan,nan,nan
1597845600.0,2020-08-19 16:00:00,11863.73,11876.23,11728.24,11750.62,3139.091865,11809.354759356316,11813.596721183607,11819.473446618942,11823.251539347411,11832.19156499569,11892.29341118462,11903.579573642794,11913.775430500205,11951.854545503069,11978.03862152718,12025.127309376114,nan,nan,nan,nan
1597849200.0,2020-08-19 17:00:00,11750.62,11772.0,11700.0,11726.5,3052.280191,11781.736506237545,11791.822540887704,11800.878757295153,11805.660350375154,11815.931324227122,11879.02993828985,11890.931032668308,11901.693144661482,11941.372938735485,11968.174361859446,12015.336250052307,nan,nan,nan,nan
1597852800.0,2020-08-19 18:00:00,11726.38,11800.0,11651.42,11754.2,3757.11365,11772.55767082503,11782.416905665777,11791.543005836123,11796.303923034216,11806.43419742295,11869.043543226662,11881.164530334858,11892.177457909129,11932.667220654765,11959.783210413978,12006.774405788297,nan,nan,nan,nan
1597856400.0,2020-08-19 19:00:00,11754.2,11780.0,11715.01,11779.34,2106.580765,11774.818447216687,11781.647679249334,11789.102404668898,11793.219573391632,11802.265859357882,11861.867259768529,11873.891349596654,11884.897621914992,11925.53572201966,11952.707006084018,11999.317540024747,nan,nan,nan,nan
1597860000.0,2020-08-19 20:00:00,11779.34,11780.22,11652.73,11738.48,3367.985303,11762.705631477791,11770.855759437,11778.977923735118,11783.266923684063,11792.4526502259,11851.996278987046,11864.219110339749,11875.451323726928,11916.83545587921,11944.3059470219,11990.765489532132,nan,nan,nan,nan
1597863600.0,2020-08-19 21:00:00,11738.12,11746.78,11639.81,11649.84,2967.76416,11725.083754318528,11740.60181957775,11753.150338988095,11759.007483014233,11770.512242498839,11835.823776668083,11848.906316744053,11860.895754454223,11904.417062582503,11932.758262824962,11979.58760462944,nan,nan,nan,nan
1597867200.0,2020-08-19 22:00:00,11649.79,11720.15,11561.0,11715.12,4325.114505,11721.762502879019,11734.231364683314,11745.544271190476,11751.02794064801,11761.99035903748,11826.167474534637,11839.350151262335,11851.490867070079,11895.612548043782,11924.22342898869,11970.916535625196,nan,nan,nan,nan
1597870800.0,2020-08-19 23:00:00,11715.36,11763.13,11691.84,11706.15,2171.665587,11716.55833525268,11727.211023512486,11737.66541695238,11742.868315075644,11753.399534570175,11816.566076571866,11829.835854743596,11842.114036936526,11886.800336506862,11915.671529812662,11962.235665604698,nan,nan,nan,nan
1597874400.0,2020-08-20 00:00:00,11706.25,11773.57,11684.25,11737.88,1772.263475,11723.66555683512,11729.878267634364,11737.708333561905,11741.961348698254,11751.01191386707,11810.271190446116,11823.267579404768,11835.389260359976,11879.873809227473,11908.699312957264,11954.879742142248,nan,nan,nan,nan
1597878000.0,2020-08-20 01:00:00,11737.87,11758.0,11702.24,11754.59,1576.808465,11733.973704556747,11736.056200725772,11741.084666849523,11744.257467116753,11751.562388656752,11805.816695210426,11818.362038018713,11830.17640485288,11874.046655309916,11902.655810488352,11948.3128653507,nan,nan,nan,nan
1597881600.0,2020-08-20 02:00:00,11754.38,11825.78,11746.55,11786.3,2150.864945,11751.415803037831,11748.617150544329,11750.127733479618,11751.901564004616,11756.906636555714,11804.255359593591,11816.071892445947,11827.34566905592,11869.965415528059,11898.092837528024,11943.000968126085,nan,nan,nan,nan
1597885200.0,2020-08-20 03:00:00,11786.31,11811.32,11750.0,11756.57,1345.185688,11753.133868691888,11750.605362908247,11751.416186783694,11752.75037054923,11756.854846316373,11800.440530826105,11811.821757271236,11822.779496858764,11864.69121015466,11892.542922330846,11936.888477367853,nan,nan,nan,nan
1597888800.0,2020-08-20 04:00:00,11756.56,11769.87,11694.49,11739.32,1936.315261,11748.529245794592,11747.784022181186,11748.996949426955,11750.308484994825,11754.157177652316,11795.550888360016,11806.643060323291,11817.395013190457,11858.8599910777,11886.534180278655,11930.410822372185,nan,nan,nan,nan
1597892400.0,2020-08-20 05:00:00,11739.33,11753.52,11690.75,11699.79,1611.310188,11732.282830529728,11735.78551663589,11739.155559541565,11741.123305904857,11745.792996475036,11787.890017291214,11799.010698871627,11809.80759298462,11851.461386841527,11879.210879091257,11922.849483933753,nan,nan,nan,nan
1597896000.0,2020-08-20 06:00:00,11699.79,11739.56,11679.01,11715.43,1248.168008,11726.665220353152,11730.696637476918,11734.410447633252,11736.451795740339,11741.121766248109,11782.093215907917,11793.040648952225,11803.718716017871,11845.134345593084,11872.788099519052,11916.048845116253,nan,nan,nan,nan
1597899600.0,2020-08-20 07:00:00,11715.43,11719.26,11680.58,11695.96,1310.878208,11716.430146902101,11722.012478107688,11726.720358106602,11729.089651060276,11734.173802209938,11775.202558635283,11786.106316884208,11796.766540790912,11838.196003937592,11865.853664243794,11908.832817407523,nan,nan,nan,nan
1597903200.0,2020-08-20 08:00:00,11695.95,11792.62,11668.0,11762.92,2345.698947,11731.926764601401,11732.239358580766,11733.960286485282,11735.240623594771,11738.59629417764,11774.219953944461,11784.450151392479,11794.582892997949,11834.694794452122,11861.817049959724,11904.048790607276,nan,nan,nan,nan
1597906800.0,2020-08-20 09:00:00,11762.93,11770.4,11700.0,11703.88,1538.76398,11722.5778430676,11725.149518935574,11727.944229188226,11729.538692032085,11733.255325842618,11768.592757628903,11778.69514057873,11788.731093449695,11828.610385407837,11855.623440157382,11897.485879439824,nan,nan,nan,nan
1597910400.0,2020-08-20 10:00:00,11703.88,11777.0,11685.0,11760.01,2260.18131,11735.055228711733,11733.86463920168,11734.357383350582,11735.078929844434,11737.371429559138,11767.906137018592,11777.36048768025,11786.878119678746,11825.419669807472,11851.873893484544,11892.978473556552,nan,nan,nan,nan
1597914000.0,2020-08-20 11:00:00,11760.01,11803.0,11738.42,11780.49,1775.092712,11750.200152474488,11745.520979401259,11743.583906680466,11743.335488054538,11744.00505578081,11768.912846057105,11777.584024274518,11786.465982925278,11823.329917723404,11849.0745251126,11889.290326882567,nan,nan,nan,nan
1597917600.0,2020-08-20 12:00:00,11780.24,11802.54,11748.15,11777.49,1854.808656,11759.296768316326,11753.513234550945,11750.365125344373,11749.545399317349,11749.156585660685,11769.599018372537,11777.57730825491,11785.88688725268,11821.197828526967,11846.267288833675,11885.624742394613,nan,nan,nan,nan
1597921200.0,2020-08-20 13:00:00,11777.48,11817.13,11736.68,11817.13,2042.629734,11778.574512210884,11769.417425913209,11763.718100275499,11761.833508532376,11759.61403402058,11773.401496902734,11780.402500522416,11787.902571946055,11821.008627200132,11845.124650055883,11883.379013135773,nan,nan,nan,nan
1597924800.0,2020-08-20 14:00:00,11817.14,11844.88,11776.64,11783.26,2405.740141,11780.136341473923,11772.878069434906,11767.626480220399,11765.729234253762,11763.251874940492,11774.190177150515,11780.606607627957,11787.603051175342,11819.2528770978,11842.698585347809,11880.096422541157,nan,nan,nan,nan
1597928400.0,2020-08-20 15:00:00,11783.27,11827.6,11738.81,11816.55,2576.71148,11792.27422764928,11783.796052076179,11777.411184176319,11774.969373480351,11771.451586488109,11777.578962978474,11783.173992797389,11789.470596260804,11819.12716188395,11841.673150628287,11878.012933277512,nan,nan,nan,nan
1597932000.0,2020-08-20 16:00:00,11816.38,11888.0,11790.03,11840.16,2384.033213,11808.236151766187,11797.887039057134,11789.960947341055,11786.822214665743,11782.022111643784,11782.585445940196,11787.24442188329,11792.74088037301,11820.10543342423,11841.613811387962,11876.771853497921,nan,nan,nan,nan
1597935600.0,2020-08-20 17:00:00,11842.04,11860.55,11812.0,11854.35,2568.553343,11823.607434510792,11812.00277929285,11802.838757872843,11799.099993817426,11793.149479083202,11788.326610264981,11792.037677463055,11796.715662284429,11821.698203962638,11842.113269764905,11876.036710760285,nan,nan,nan,nan
1597939200.0,2020-08-20 18:00:00,11854.34,11880.01,11822.0,11840.99,2701.22782,11829.401623007194,11819.249584469639,11810.469006298275,11806.716358577894,11800.509559224249,11792.539681443783,11795.534271929979,11799.572071169305,11822.595496801585,11842.069219970203,11874.887638276341,nan,nan,nan,nan
1597942800.0,2020-08-20 19:00:00,11840.99,11854.94,11814.57,11816.49,2105.60393,11825.097748671462,11818.559688352228,11811.67320503862,11808.493384291005,11802.968088574364,11794.45570692828,11797.031109649266,11800.663550448704,11822.311520206162,11841.066113304705,11872.972961611544,nan,nan,nan,nan
1597946400.0,2020-08-20 20:00:00,11816.49,11868.95,11814.34,11859.68,2130.177372,11836.625165780975,11828.839766264171,11821.274564030897,11817.80004169264,11811.692998024462,11799.673650374018,11801.506030388604,11804.47106332298,11824.049589033782,11841.796069645698,11872.537126804607,nan,nan,nan,nan
1597950000.0,2020-08-20 21:00:00,11859.69,11873.15,11838.33,11843.09,1749.971184,11838.78011052065,11832.402324698129,11825.637651224717,11822.398215930343,11816.5233060207,11803.146958344096,11804.476313932275,11806.962607624724,11824.93518954384,11841.846812012533,11871.571647237242,nan,nan,nan,nan
1597953600.0,2020-08-20 22:00:00,11843.09,11880.0,11840.89,11853.06,1770.422274,11843.540073680433,11837.566743523596,11831.122120979773,11827.97308576119,11822.144335863668,11807.140001676567,11807.946577222827,11809.936632939258,11826.24332026273,11842.286544874787,11870.964707983563,nan,nan,nan,nan
1597957200.0,2020-08-20 23:00:00,11853.07,11880.0,11815.0,11826.39,1494.32524,11837.823382453622,11834.772557642696,11830.17569678382,11827.685251986428,11822.797514961565,11808.680001542441,11809.263964564054,11810.998140491563,11826.250142576093,11841.66315095813,11869.503242148037,nan,nan,nan,nan
