time,open,high,low,close,EMA24,EMA9,Volume,Volume MA,RSI
2021-03-12T18:00:00Z,57175.26,57667.79,57070,57349.23,56762.58200139091,56904.25950277234,2355.169394,3170.316698350006,57.04058682730047
2021-03-12T19:00:00Z,57349.24,57547.07,56712.51,56942.41,56776.96824127964,56911.88960221787,2759.492761,3160.2230237500057,52.224798574369565
2021-03-12T20:00:00Z,56942.41,57200,56400,56696.8,56770.55478197727,56868.8716817743,3482.306734,3133.4213895500056,49.50723031410247
2021-03-12T21:00:00Z,56696.81,57170,56262.14,56936.78,56783.85279941909,56882.45334541944,2554.419549,3130.7816510500056,52.12840103904033
2021-03-12T22:00:00Z,56936.78,57465.38,56859.06,57157.29,56813.72777546556,56937.420676335554,2252.890204,3160.1947263000056,54.46738186540237
2021-03-12T23:00:00Z,57157.29,57500,57153.68,57221.72,56846.36715342831,56994.280541068445,1911.329085,3177.7645007000056,55.156811173399056
2021-03-13T00:00:00Z,57221.72,57307.2,56312.91,56689.35,56833.80578115405,56933.29443285475,2913.361726,3204.9390720500055,48.607700614672204
2021-03-13T01:00:00Z,56689.36,56707,56081.59,56386.39,56798.01251866172,56823.9135462838,2358.624577,3208.676611300006,45.310549144503774
2021-03-13T02:00:00Z,56386.39,56639.54,56078.23,56473.41,56772.04431716879,56753.81283702704,2183.697695,3214.9714071500057,46.434474988876126
2021-03-13T03:00:00Z,56473.41,56790,56308.98,56694.32,56765.82637179529,56741.91426962164,1902.375299,3166.5640383000054,49.283922939549335
2021-03-13T04:00:00Z,56694.32,56899,56257.47,56896.32,56776.26586205167,56772.79541569731,1547.932181,3085.7457570500055,51.80837766531864
2021-03-13T05:00:00Z,56882.74,57090.46,56610,56744.89,56773.755793087534,56767.21433255784,1432.003068,3038.1357695500055,49.80687371190926
2021-03-13T06:00:00Z,56744.89,57060.86,56491.92,56931.58,56786.38172964053,56800.08746604627,1759.409727,2928.334918800005,52.25577416606931
2021-03-13T07:00:00Z,56931.57,57389.58,56753.9,57343.7,56830.96719126929,56908.809972837014,1998.200368,2878.737497400005,57.21798732420897
2021-03-13T08:00:00Z,57343.7,57649.03,57126.2,57434.31,56879.23461596774,57013.909978269614,2957.359471,2906.387945550005,58.24551797011274
2021-03-13T09:00:00Z,57434.3,57614.52,57253.31,57610.77,56937.75744669032,57133.28198261569,1827.03931,2569.077946900005,60.247906744263005
2021-03-13T10:00:00Z,57610.77,59850,57446.81,59448.19,57138.59205095509,57596.26358609255,12696.973243,3015.886680100005,74.14942754640825
2021-03-13T11:00:00Z,59448.2,60200,59420.99,59849.74,57355.48388687868,58046.95886887404,9101.228649,3251.7282532500044,76.11522739220939
2021-03-13T12:00:00Z,59853.58,60500,59232.53,59911.99,57560.00437592839,58419.96509509923,5886.085422,3339.633824750005,76.41465767795584
2021-03-13T13:00:00Z,59911.99,60159.45,59500,59915.25,57748.42402585412,58719.02207607938,3621.796209,3375.084733600005,76.43132142924313
2021-03-13T14:00:00Z,59915.3,60087.09,59700.67,59756.45,57909.066103785786,58926.507660863506,2295.311318,3372.0918298000047,73.6997401420839
2021-03-13T15:00:00Z,59761.93,59953.63,59523,59692.99,58051.780015482924,59079.804128690805,2357.243586,3351.9793710500044,72.58335498865765
2021-03-13T16:00:00Z,59693,59924.18,59458.67,59820.43,58193.27201424429,59227.929302952645,2721.303963,3313.9292325000047,73.45302310034143
2021-03-13T17:00:00Z,59820.39,60520,59751.7,60333.33,58364.47665310475,59449.00944236212,3328.787428,3352.6476264500043,76.66166159539547
2021-03-13T18:00:00Z,60333.33,60451.39,59977.6,60281.95,58517.87452085637,59615.5975538897,2419.095224,3360.957877450004,75.67491924543907
2021-03-13T19:00:00Z,60281.95,60864.97,60144.2,60773.56,58698.32935918786,59847.190043111754,3093.953168,3420.089081600004,78.52333671167904
2021-03-13T20:00:00Z,60773.56,61844,60651.74,61648.26,58934.323810452835,60207.4040344894,6042.502819,3576.546136250004,82.45906560562904
2021-03-13T21:00:00Z,61648.26,61737.02,60605.5,61151.07,59111.663505616605,60396.13722759152,4486.032217,3682.9165182500046,74.14199175934885
2021-03-13T22:00:00Z,61156.4,61311.19,60767.62,61096.04,59270.413625167275,60536.11778207322,1770.676941,3662.2654805500047,73.26121053158838
2021-03-13T23:00:00Z,61091.75,61480,61089.98,61188.39,59423.85173515389,60666.57222565857,2544.097737,3694.3516024500045,73.82321805164388
2021-03-14T00:00:00Z,61188.38,61724.79,60900,61260.48,59570.78199634158,60785.35378052686,2902.157561,3762.0628714500044,74.27771681853173
2021-03-14T01:00:00Z,61260.47,61260.48,60724.26,61081,59691.59943663426,60844.48302442148,2275.236278,3804.2245319500043,70.97371912046361
2021-03-14T02:00:00Z,61081,61218.2,60788.01,61061.27,59801.17308170351,60887.840419537184,1563.802448,3794.444168000004,70.60193272991151
2021-03-14T03:00:00Z,61061.28,61472.08,60900,61356.31,59925.58403516723,60981.534335629745,1564.465197,3772.7574094500037,72.8890049553953
2021-03-14T04:00:00Z,61356.3,61595.09,61088.67,61225.53,60029.57971235385,61030.3334685038,1478.039905,3698.7914311500035,70.27905528608763
2021-03-14T05:00:00Z,61225.54,61285.41,60903.96,61016.29,60108.51653536554,61027.52477480304,1714.889509,3693.1839411000037,66.19507310312804
2021-03-14T06:00:00Z,61016.29,61016.3,60523.14,60975.39,60177.8664125363,61017.09781984243,2353.149783,3175.9927681000036,65.39511632885402
